Id,Dm,Nx,Mx,Ah,Params,LossTrain, 1-gram, 2-gram, 3-gram, 4-gram-bleu
EX-105,2048,5,1,32,8.28E+07,1.74E-01,9.90E-01,8.90E-01,8.90E-01,8.90E-01
EX-123,4096,5,1,8,2.66E+08,1.53E-01,9.90E-01,8.90E-01,8.90E-01,8.90E-01
EX-124,4096,5,3,8,2.66E+08,1.54E-01,9.90E-01,8.90E-01,8.90E-01,8.90E-01
EX-43,1024,5,3,4,2.88E+07,2.30E-01,9.90E-01,8.90E-01,8.90E-01,8.90E-01
EX-52,1024,5,3,8,2.88E+07,2.21E-01,9.90E-01,8.90E-01,8.90E-01,8.90E-01
EX-53,1024,5,5,8,2.88E+07,2.20E-01,9.90E-01,8.90E-01,8.90E-01,8.90E-01
EX-70,1024,5,3,32,2.88E+07,2.12E-01,9.90E-01,8.90E-01,8.90E-01,8.90E-01
EX-71,1024,5,5,32,2.88E+07,2.13E-01,9.90E-01,8.90E-01,8.90E-01,8.90E-01
EX-79,2048,5,3,4,8.28E+07,1.90E-01,9.90E-01,8.90E-01,8.90E-01,8.90E-01
EX-87,2048,5,1,8,8.28E+07,1.79E-01,9.90E-01,8.90E-01,8.90E-01,8.90E-01
EX-88,2048,5,3,8,8.28E+07,1.83E-01,9.90E-01,8.90E-01,8.90E-01,8.90E-01
EX-96,2048,5,1,16,8.28E+07,1.72E-01,9.90E-01,8.90E-01,8.90E-01,8.90E-01
EX-97,2048,5,3,16,8.28E+07,1.74E-01,9.90E-01,8.90E-01,8.90E-01,8.90E-01
EX-133,4096,5,3,16,2.66E+08,1.51E-01,9.90E-01,8.88E-01,8.86E-01,8.87E-01
EX-61,1024,5,3,16,2.88E+07,2.20E-01,9.90E-01,8.88E-01,8.86E-01,8.87E-01
EX-51,1024,5,1,8,2.88E+07,2.24E-01,9.86E-01,8.82E-01,8.77E-01,8.79E-01
EX-106,2048,5,3,32,8.28E+07,1.71E-01,9.78E-01,8.76E-01,8.71E-01,8.73E-01
EX-35,512,5,5,32,1.13E+07,3.23E-01,8.74E-01,8.69E-01,8.65E-01,8.67E-01
EX-62,1024,5,5,16,2.88E+07,2.19E-01,9.54E-01,8.54E-01,8.54E-01,8.54E-01
EX-69,1024,5,1,32,2.88E+07,2.16E-01,9.50E-01,8.45E-01,8.41E-01,8.43E-01
EX-60,1024,5,1,16,2.88E+07,2.23E-01,9.44E-01,8.40E-01,8.38E-01,8.40E-01
EX-107,2048,5,5,32,8.28E+07,1.71E-01,9.36E-01,8.36E-01,8.29E-01,8.31E-01
EX-34,512,5,3,32,1.13E+07,3.12E-01,9.44E-01,8.33E-01,8.27E-01,8.31E-01
EX-115,4096,5,3,4,2.66E+08,1.75E-01,9.37E-01,8.29E-01,8.26E-01,8.28E-01
EX-98,2048,5,5,16,8.28E+07,1.76E-01,9.17E-01,8.16E-01,8.15E-01,8.15E-01
EX-25,512,5,3,16,1.13E+07,3.18E-01,9.32E-01,8.18E-01,8.11E-01,8.15E-01
EX-80,2048,5,5,4,8.28E+07,1.86E-01,9.20E-01,8.16E-01,8.13E-01,8.14E-01
EX-89,2048,5,5,8,8.28E+07,1.84E-01,9.00E-01,7.92E-01,7.92E-01,7.92E-01
EX-114,4096,5,1,4,2.66E+08,1.65E-01,8.91E-01,7.91E-01,7.90E-01,7.90E-01
EX-44,1024,5,5,4,2.88E+07,2.30E-01,8.94E-01,7.87E-01,7.86E-01,7.87E-01
EX-78,2048,5,1,4,8.28E+07,1.88E-01,8.89E-01,7.86E-01,7.84E-01,7.85E-01
EX-24,512,5,1,16,1.13E+07,3.21E-01,9.21E-01,7.91E-01,7.70E-01,7.82E-01
EX-125,4096,5,5,8,2.66E+08,1.57E-01,8.89E-01,7.79E-01,7.76E-01,7.79E-01
EX-113,4096,3,5,4,2.66E+08,1.50E-01,8.87E-01,7.74E-01,7.66E-01,7.71E-01
EX-132,4096,5,1,16,2.66E+08,1.57E-01,8.93E-01,7.64E-01,7.55E-01,7.59E-01
EX-26,512,5,5,16,1.13E+07,3.22E-01,8.71E-01,7.59E-01,7.45E-01,7.51E-01
EX-116,4096,5,5,4,2.66E+08,1.68E-01,7.50E-01,7.46E-01,7.43E-01,7.44E-01
EX-33,512,5,1,32,1.13E+07,3.14E-01,8.14E-01,7.03E-01,6.94E-01,6.99E-01
EX-121,4096,3,3,8,2.66E+08,1.39E-01,7.94E-01,6.94E-01,6.94E-01,6.94E-01
EX-134,4096,5,5,16,2.66E+08,1.61E-01,7.94E-01,6.93E-01,6.92E-01,6.92E-01
EX-66,1024,3,1,32,2.88E+07,1.67E-01,8.22E-01,6.98E-01,6.77E-01,6.88E-01
EX-42,1024,5,1,4,2.88E+07,2.31E-01,8.38E-01,6.96E-01,6.81E-01,6.86E-01
EX-49,1024,3,3,8,2.88E+07,1.77E-01,8.14E-01,6.71E-01,6.49E-01,6.65E-01
EX-112,4096,3,3,4,2.66E+08,1.51E-01,8.02E-01,6.68E-01,6.41E-01,6.56E-01
EX-129,4096,3,1,16,2.66E+08,1.35E-01,7.55E-01,6.51E-01,6.47E-01,6.49E-01
